review,sentiment
"The symbolic use of objects, form editing, the position of characters in the scene... these were all used with such joyous abandon by Hitchcock that you can really see what a fertile genius he had. The way the wife moves from one corner of the ring to the other as the fight progresses, the editing when the wedding ring is placed on her finger... while these may seem a bit obvious by todays standards, in the silent era they spoke volumes about the story without a word being spoken. Even the title has a least four meanings that I can see; the boxing ring, the wedding ring, the bracelet the lover buys, and the love triangle at the heart of the story.",positive
"This is a movie that i can watch over and over and never ever get tired of it, it has lot's of laughs, guns, action, crime,, good one liners, and a decent plot, with an over the top, Donald Sutherland in a rather comedic role as an Assasain. Tia Carerra looks as hot as she ever did and can act too, Thomas Ian Griffin is great in this as the lead character ""Max"" a DEA agent Diane is the FBI agent, played by Carerra, and John Lithgow from Frazier on TV, plays the bad guy,, ""Livingston"". The plot centers around Max and Diane trying to capture Livingston while they fight and argue with each other about who gets the money for the respective agencies, throw into the mix the Assassain Sutherland, who pretty much has all the good one liners, this is the perfect crime caper, there is the usual love story,, but played very differently than you would think by Carerra and Griffith. You also have the Russian mafia, Italian Mafia, and Chineese Mafia here thrown into the mix,, the film is shot in Boston,, where you have some great shots , and locals,, great photography and music in this film, this movie is just the epitome of a crime comedy,, it has everything that one could ever want. Check out Sutherland's toilet in a particular scene,, very unusual. this film is a riot and will make you laugh real hard 10 plus for me.",positive
"My father grew grew up watching George Reeves as Superman and when I was a little kid he had episodes on VHS and let me view them including this movie (passing them down in the family if you will), and I loved it.<br /><br />Clark Kent and Lois Lane get sent to a small town with and oil mine and from the mine emerge mole men radioactive and targeted by the town assumed to be deadly and it's up to Superman to stop this mayhem.<br /><br />It's just so wonderful and fun to view. The old style special effects and sound - the crew pulled off such a beauty with such little technology. George Reeves was my hero when I was a little kid, and I'm 16 now, it just goes to show how timeless and classic these adventures are.",positive
"Tainted look at kibbutz life<br /><br />This film is less a cultural story about a boy's life in a kibbutz, but the deliberate demonization of kibbutz life in general. In the first two minutes of the movie, the milk man in charge of the cows rapes one of his calves. And it's all downhill from there in terms of the characters representing typical ""kibbutznikim."" Besides the two main characters, a clinically depressed woman and her young son, every one else in the kibbutz is a gross caricature of wellevil. <br /><br />The story centers on how the kibbutz, like some sort of cult, slowly drags the mother and son deeper into despair and what inevitably follows. There is no happiness, no joy, no laughter in this kibbutz. Every character/situation represents a different horrific human vice like misogyny, hypocrisy, violence, cultism, repression etc. For example, while the protagonist is a strikingly handsome European looking 12 year old boy  his older brother is a typical kibbutz youth complete with his ""jewish"" physical appearance and brutish personality. He cares more about screwing foreign volunteers than the health of his dying mother. He treats these volunteers like trash. After his little brother pleads of him to visit his dying mother whom he hasn't seen in a long time due to his military service, he orders, Quote  ""Linda, go take shower and I cum in two minutes."" <br /><br />There is one other ""good"" character in this movie  a European foreigner who plays the mother's boyfriend. When the animal rapist tries to hit the mother's son, the boyfriend defends him by breaking the rapist's arm. He is summarily kicked out of the kibbutz then for ""violent"" behavior against one of the kibbutz members. More hypocrisy: The indescribably annoying French woman who plays the school teacher preaches that sex cannot happen before age 18, or without love and gives an account of the actual act that's supposed to be humorous for the audience, but is really just stupid. She of course is screwing the head of the kibbutz in the fields who then in turn screws the little boy's mom when her mental health takes a turn for the worse. <br /><br />The film portrays the kibbutz like some sort of cult. Children get yanked out of their beds in the middle of the night and taken to some ritual where they swear allegiance in the fields overseen by the kibbutz elders. The mother apparently can't ""escape"" the kibbutz, although in reality, anyone was/is always free to come and go as they choose. It's a mystery how the boy's father died, but you can rest assured, the kibbutz ""drove him to it"" and his surviving parents are another pair of heartless, wretched characters that weigh down on the mother and her son. <br /><br />That's the gist of this movie. One dimensional characters, over dramatization, dry performances, and an insidious message that keeps trying to hammer itself into the audience's head  that kibbutz life was degrading, miserable and even deadly for those who didn't ""fit in."" I feel sorry for the guy who made this film  obviously he had a bad experience growing up in a kibbutz. But I feel as though he took a few kernels of truth regarding kibbutz life and turned them into huge atomic stereotyped bombs.",negative
"The problem is the role of the characters in the film. Man to Man shows a British anthropologist kidnapping two pygmies and taking them to Scotland and then realising that they are not animals or subhumans but actually equal to himself. The problem is the role of the pygmies in the film - two people who are kidnapped, treated like animals, and yet given such a shallow, stereotypical role within the film... The kidnapper (british anthropologist) ends up being the hero of the film because he 'manages' to relate to the pygmies... No notion of how the two hostages feel, of their point of view, of their ordeal... I find it is a shallow film, with a one sided fundamentally racist view... it never manages to move away from the 'white mans' view",negative
"(Only light spoilers in here)<br /><br />Stealing Sinatra is a half-slapstick comedy about dimwit kidnappers, dimwit victims, and a few other side-stories thrown in to eat up some time.<br /><br />You will see some poor performances all around in this movie. The drama is forced, and the humor makes no sense. Whether you're watching the kidnappers threaten the victim who won't shut up, or a victim's father responding to the criminal's death threat with ""Care for some tea?"", none of it is believable. This quite comfortably fits into the ""wannabe movie"" category.<br /><br />You will also be listening to a repetitive goofy music track throughout pretty much the entire movie. It's quite unprofessional, and adds nothing. It's really just a sad attempt at making an achingly unfunny movie seem somewhat witty.<br /><br />However, if you're able to look past all of this and suspend a lot of disbelief, you might be entertained by the adequate storyline.<br /><br />I voted 4/10.",negative
This unpretentious Horror film is probably destined to become a cult classic. Much much better than 90% of the Scream rip-offs out there! I even hope they come up with a sequel!,positive
"If you keep rigid historical perspective out of it, this film is actually quite entertaining. It's got action, adventure and romance, and one of the premiere casting match-ups of the era with Errol Flynn and Olivia de Havilland in the lead roles. As evident on this board, the picture doesn't pass muster with purists who look for one hundred percent accuracy in their story telling. To get beyond that, one need only put aside the history book, and enjoy the story as if it were a work of fiction. I know, I know, that's hard to do when you consider Custer's Last Stand at the Little Big Horn and it's prominence in the history of post Civil War America. So I guess there's an unresolved quandary with the picture, no matter how you look at it.<br /><br />There's a lot to take in here though for the picture's two hour plus run time. Custer's arrival at West Point is probably the first head scratcher, riding up as he does in full military regalia. The practical joke by Sharp (Arthur Kennedy) putting him up in the Major's headquarters probably should have gotten them both in trouble.<br /><br />Ironically, a lot of scenes in this military film play for comedy, as in Custer's first meeting with Libby Bacon, and subsequent encounters that include tea reader Callie (Hattie McDaniel). I hadn't noticed it before in other films, but McDaniel reminded me an awful lot of another favorite character actor of mine from the Forties, Mantan Moreland. So much so that in one scene it looked like it might have been Moreland hamming it up in a dress. With that in mind, the owl scene was a hoot too.<br /><br />As for Flynn, it's interesting to note that a year earlier, he portrayed J.E.B. Stuart opposite Ronald Reagan's depiction of General Custer in ""Santa Fe Trail"", both vying for the attention of none other than Olivia de Havilland. In that film, Reagan put none of the arrogance and flamboyance into the character of Custer that history remembers, while in Flynn's portrayal here it's more than evident. But it doesn't come close to that of Richard Mulligan's take on the military hero in 1970's ""Little Big Man"". Let's just say that one was a bit over the top.<br /><br />The better take away the picture had for me was the manner in which Custer persevered to maintain his good name and not gamble it away on a risky business venture. That and his loyalty to the men he led in battle along with the discipline he developed over the course of the story. Most poignant was that final confrontation with arch rival Sharp just before riding into the Little Big Horn, in which he declared that hell or glory was entirely dependent on one's point of view. Earlier, a similar remark might have given us the best insight of all into Custer's character, when he stated - ""You take glory with you when it's your time to go"".",positive
"worst. movie. ever made. EVER. I have no words to say about it.. other then it truly had no point, no plot, no... anything. sheer crap!!! I don't know how everyone in the movie didn't shoot them shelves after watching it.... .... .... ... .. I love vampire flicks and mysteries, and alternate abstract outside the box films, and.... this was non of those. I mean what the crap!!! I cant even tell you what the film was about cuz I still don't know, and I just wasted an hour and ahalf of my life watching it... bottom line.. I think the maker of this film just wants everyone to do drugs. thats the only thing I got from this film. please don't watch this... I mean for a "" sultry sensual vampire flick"" there wasn't even the to be expected nudity you'd get from a vamp flick. anyway back to my point.... this movie blows. go set yourself on fire instead.... .. ..",negative
"As a disclaimer, I've seen the movie 5-6 times in the last 15 years, and I only just saw the musical this week. This allowed me to judge the movie without being tainted by what was or wasn't in the musical (however, it tainted me when I watched the musical :) ) <br /><br />I actually believe Michael Douglas worked quite well in that role, along with Kasey. I think her 'Let me dance for you scene' is one of the best parts of the movie, a worthwhile addition compared to the musical. The dancers and singing in the movie are much superior to the musical, as well as the cast which is at least 10 times bigger (easier to do in the movie of course). The decors, lighting, dancing, and singing are also much superior in the movie, which should be expected, and was indeed delivered. <br /><br />The songs that were in common with the musical are better done in the movie, the new ones are quite good ones, and the whole movie just delivers more than the musical in my opinion, especially compared to a musical which has few decors. The one bad point on the movie is the obvious cuts between the actors talking, and dubbed singers during the singing portions for some of the characters, but their dancing is impeccable, and the end product was more enjoyable than the musical",positive
"It's a unique film, as it gives us our only chance to see the young Noel Coward in all his ironic glory. Because he seems so reserved & detached he's perfect for the role of an unloved cad who matter-of-factly uses all those around him. However in the deadly serious (no pun intended) last act, when Coward must make like the Flying Dutchman, he's much less comfortable.<br /><br />But his way with an epigram is peerless, and Hecht & Macarthur have given him some gems (Macarthur, really -- he was the wit of the pair).<br /><br />The film is superbly lighted by the great Lee Garmes, but has little camera movement aside from a storm sequence. Hecht and Macarthutr cared about one thing -- getting their dialogue on screen. (NOTE: H&M themselves have blink-and-you'll-miss-'em cameos as bums in the flophouse scene).<br /><br />The most notable supporting player is the one and only Alexander Woolcott, notorious Broadway columnist and close friend of both Macarthur and Coward, who appears as one of the bitchy authors always kept waiting in the reception room of publisher Coward.<br /><br />Curious that Woolcott would agree to do a film that clearly lampoons the legendary Algonquin Round Table, of which he was a founder, and Macarthur something of an auxiliary member.<br /><br />The Scoundrel actually won an Oscar for best story, though that victory is probably due more to Coward's imposing presence than any brilliance in the plot. It's Coward, Woolcott, and the dialogue you remember...",positive
"Michael Callan plays a smarmy photographer who seems, nonetheless, to be regarded as a perfect ""catch"" by any woman that runs across him; could this have anything to do with the fact that he also co-produced the film? He's a ""hero"" whom it's very difficult to empathize with, so the movie is in trouble right from the start. However, it's troubles don't end there. It has the production values of a TV-movie (check out that head made of clay or something, near the end), and the ending cheats in a way that I can't reveal, in case anyone wants to see the movie (highly unlikely). Let's just say that the killer knows more than we were let to know he knows. (*1/2)",negative
"i can't even describe it. it's the worst movie i've ever seen (i'm being a nice guy when i call it movie).Just another big-budget-made-to-someone-who-doesn't-like-to-think-much.It's not even scary. It's revolting when there are great movies that never reach the big screen and then comes this...""thing"" to trick movie fans. I guess big producers make whatever they want.<br /><br />Just get a big producer, hot chicks (allthough horrible actresses) and a ton of horror movie clichés and cook it for a week or so, and you'll get ""The Nun"".<br /><br />And I thought Bad Boys 2 was horrible!!!!",negative
"This movie made it into one of my top 10 most awful movies. Horrible. <br /><br />There wasn't a continuous minute where there wasn't a fight with one monster or another. There was no chance for any character development, they were too busy running from one sword fight to another. I had no emotional attachment (except to the big bad machine that wanted to destroy them) <br /><br />Scenes were blatantly stolen from other movies, LOTR, Star Wars and Matrix. <br /><br />Examples<br /><br />>The ghost scene at the end was stolen from the final scene of the old Star Wars with Yoda, Obee One and Vader. <br /><br />>The spider machine in the beginning was exactly like Frodo being attacked by the spider in Return of the Kings. (Elijah Wood is the victim in both films) and wait......it hypnotizes (stings) its victim and wraps them up.....uh hello????<br /><br />>And the whole machine vs. humans theme WAS the Matrix..or Terminator.....<br /><br />There are more examples but why waste the time? And will someone tell me what was with the Nazi's?!?! Nazi's???? <br /><br />There was a juvenile story line rushed to a juvenile conclusion. The movie could not decide if it was a children's movie or an adult movie and wasn't much of either. <br /><br />Just awful. A real disappointment to say the least. Save your money.",negative
"This IS the worst movie I have ever seen, as well as, the worst that I will probably EVER see. I see no need to rehash what all the others have said previously, just be forewarned...<br /><br />This IS NOT one of those bad movies you think you want to watch because you want to be able to make fun of it, its just plain BAD BAD BAD BAD BAD.<br /><br />This movie is the equivalent to having a ""pet rock"" as your friend. You wait and wait and wait and wait and wait and wait and wait and wait for something to happen. Unfortunately, it never does. At least with a pet rock you knew what you were getting into. Lion's Gate completely deceives on this bombshell... No...this is a disaster. After watching this film, you would swear George W. Bush had his hands all over the making of this film... yes its that idiotic.<br /><br />Stay away, unless of course you just want to watch the worst movie of all time. Its probably how Lion's Gate figured it would make some money off this piece of tripe.",negative
"Filmfour are going to have to do a lot better than this little snot of a film if they're going to get the right sort of reputation for themselves.<br /><br />This film is set in Glasgow (although only a couple of secondary characters have anything approaching a Scottish accent). The premise, about people who's lives are going nowhere, who all meet up in the same cafe in the early hours of the morning as they have night jobs, COULD have made for a really funny, insightful, quirky, cultish film. Instead we have a group of self-obsessed saddos and a plot which has been so done to bits I'm suprised it hasn't been banned. X and Y are friends. X is sleeping with Z. Y sleeps with Z as well. Oh you figure it out.<br /><br />A total waste of time. Painful dialogue - it sounded like something that a group of 16 year olds would have written for a GCSE drama project. The female character was completely superfluous - just written in as a token female in the hope that women would be cajoled into seeing it.<br /><br />If you're the sort of thicko lad who laughs at beer adverts and can usually be found wandering round in packs shouting on Saturday nights in nondescript town centres then you will love this film and find it ""a right laff"". Everyone else, run, don't walk away from this sorry little misfit.<br /><br />And one question, when the group left the ""boring"" seaside town (Saltcoats incidentally although they changed the name on the film), to go back to Glasgow, WHY did they do it via the Forton motorway services at LANCASTER which is in England?",negative
"SHALLOW GRAVE begins with either a tribute or a rip off of the shower scene in PSYCHO. (I'm leaning toward rip off.) After that it gets worse and then surprisingly gets better, almost to the point of being original. Bad acting and amateurish directing bog down a fairly interesting little story, but the film already surpasses many in the ""Yankee comes down South to get killed by a bunch of rednecks"" genre because it is actually shot in the South.<br /><br />A group of college girls head to Ft. Lauderdale for summer vacation and are waylaid in Georgia by a flat tire after getting off the main road. (Note to Yankees: stay on the highway when you go to Florida.) Sue Ellen (Lisa Stahl) has to pee so she heads into the woods. When she finally finds a good spot to do her business she witnesses the local sheriff (Tony March) strangle his mistress (Merry Rozelle) to death. (Note to Yankees: do not wander off into the woods when in the South; not because you might witness a murder, but you may run across a marijuana plantation.) This is the point where the story, not the movie, actually comes close to being good.<br /><br />While Tony March will never have to practice his Oscar speech, his Sheriff Dean becomes a creepy facsimile of a normal guy torn by what he has done and what he must do. Tom Law is likable as Deputy Scott and is as authentic a Southern deputy as I've seen since Walton Goggins (Deputy Steve Naish) in HOUSE OF 1000 CORPSES.<br /><br />A few scenes in the movie are worth the mention. The girls stop at a BBQ in South Carolina and display their racism when a big black guy checks them out. Sue Ellen runs into a barn to hide behind some hay bales and in a shockingly realistic moment a large snake is hiding in the hay with her.<br /><br />And in the strangest scene, Sheriff Dean makes like he's about to rape Patty (Carol Cadby) and tells her to take off her clothes. Dean has turned the radio up to drown out the noise of what he's about to do. The preacher on the radio needs to go back and read his Bible. His sermon is about how Jezebel is saved by the blood of Jesus Christ. I feel sorry for this preacher's flock. Jezebel was in the Old Testament a few thousand years before Christ was born and by no means is she one of the five people you are going to meet in Heaven.",negative
"'Airport 4' is basically a slopped together mess for Universal Studios to try and work a new twist - the Concorde supersonic airliner - into their 'disaster-in-the-sky' formula.<br /><br />Bogged down with unintentional humor, the best of which is when George Kennedy sticks his hand out of Concorde's window at supersonic speed to fire a flare gun at a heat-seeking missile following the aircraft's flight path, and the simple fact that these dumb passengers keep re-boarding the same plane to continue their flight despite all the problems in the air. Many stars in this one including Robert Wagner, Sylvia Kristel, Alain Delon, and Martha Raye as a nervous passenger. <br /><br />Not really related to the other 'Airport' films.",negative
"this is one of the finest movies i have ever seen....the stark scenery...the isolation...the ignorant bigoted people hiding behind their religion...a backdrop for some wordliness and sophistication...the acting is completely natural...but for me as a""foodie' the best is the actual choosing and preparation of the feast..i have spent time in paris and know the cuisine well...whether or not the cafe anglais really exists i don't know but i do know of similar establishments and babette's menu and choice of wines are authentic...and of course the end where despite themselves the perfect meal mellows them back to friendship is the only ending there could be..this is a 10 out of 10 film and should be seen by anyone with enough brain and taste to understand it",positive
"I am not a golf fan by any means. On May 26 about 10:30 PM the movie started with a scene in the late 1800's. Old movies I like but not golf however, within the first scene a young boy (Harry Vardon) is awaken by the voices of men. He goes outside to inquire what they are doing and is told they are going to build a golf something... So , then I turned the television off but something stirred me and it was back on. The movie is excellent. We then see this young boy now a man; professional golf player who is haunted with visions from his childhood. Then we meet the true focus of the movie Francis and the decisions he makes for golf. You meet his mother and father who want to protect him from the class thing that is so obvious during the period. Then there is little Eddie Lowery his caddy with encouraging words and little pushes that are instrumental in Francis winning. Don't want to give away too much . I was up until 2 A.M. This is super please see the movie.",positive
"I was looking forward to The Guardian, but when I walked into the theater I wasn't really in the mood for it at that particular time. It's kind of like the Olive Garden - I like it, but I have to be in the right mindset to thoroughly enjoy it.<br /><br />I'm not exactly sure what was dampening my spirit. The trailers looked good, but the water theme was giving me bad flashbacks to the last Kevin Costner movie that dealt with the subject - Waterworld. Plus, despite the promise Ashton Kutcher showed in The Butterfly Effect, I'm still not completely sold on him. Something about the guy just annoys me. Probably has to do with his simian features.<br /><br />It took approximately two minutes for my fears to subside and for my hesitancies to slip away. The movie immediately throws us into the midst of a tense rescue mission, and I was gripped tighter than Kenny Rogers' orange face lift. My concerns briefly bristled at Kutcher's initial appearance due to the fact that too much effort was made to paint him as ridiculously cool and rebellious. Sunglasses, a tough guy toothpick in his mouth, and sportin' a smirk that'd make George Clooney proud? Yeah, we get it. I was totally ready to hate him.<br /><br />But then he had to go and deliver a fairly strong performance and force me to soften my jabs. <br /><br />Darn you, ape man! Efficiently mixing tense, exciting rescue scenes, drama, humor, and solid acting, The Guardian is easily a film that I dare say the majority of audiences will enjoy. You can quibble about its clichés, predictability, and rare moments of overcooked sappiness, but none of that takes away from the entertainment value.<br /><br />I had a bad feeling that the pace would slow too much when Costner started training the young guys, but on the contrary, the training sessions just might be the most interesting aspect of the film. Coast Guard Rescue Swimmers are heroes whose stories have never really been portrayed on the big screen, so I feel the inside look at what they go through and how tough it is to make it is very informative and a great way to introduce audiences to this under-appreciated group.<br /><br />Do you have what it takes to be a rescue swimmer? Just think about it -you get to go on dangerous missions in cold, dark, rough water, and then you must fight disorientation, exhaustion, hypothermia, and a lack of oxygen all while trying to help stranded, panicked people who are depending on you for their survival. And if all that isn't bad enough, sometimes you can't save everybody so you have to make the tough decision of who lives and who dies.<br /><br />Man, who wants all that responsibility? Not me! I had no idea what it was really like for these guys, and who would have thought I'd have an Ashton Kutcher/Kevin Costner movie to thank for the education? <br /><br />Not only does The Guardian do a great job of paying tribute to this rare breed of hero, but lucky for us it also does a good job of entertaining its paying customers.<br /><br />THE GIST <br /><br />Moviegoers wanting an inside look at what it's like to embark on a daring rescue mission in the middle of the ocean might want to give The Guardian a chance. I saw it for free, but had I paid I would've felt I had gotten my money's worth.",positive
